year,name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2023,"Detmers, Reid",672282,Angels,LAA,L,74.7,505,2599,16.04320988,0.194305502,CUKC,Curveball,64.5,-60.7,3.9,6,11.4,9.4,2.1,22,0.811659193,0.713004484
2023,"Williams, Gavin",668909,Guardians,CLE,R,76.3,233,1386,8.555555556,0.168109668,CUKC,Curveball,63.9,-58.8,5.1,9,9.9,9.4,0.4,5,0.887892377,0.547085202
2023,"Greinke, Zack",425844,Royals,KC,R,72.4,312,2219,13.69753086,0.140603876,CUKC,Curveball,63.2,-64.9,-1.7,-3,11.5,11.8,-0.3,-2,0.32735426,0.426008969
2023,"Scholtens, Jesse",669947,White Sox,CWS,R,74,239,1447,8.932098765,0.165169316,CUKC,Curveball,63.2,-62.9,0.3,0,8.1,10.4,-2.3,-22,0.524663677,0.237668161
2023,"Coulombe, Danny",543056,Orioles,BAL,L,80.1,89,830,5.12345679,0.107228916,CUKC,Curveball,63.2,-52.4,10.8,21,4.8,6.8,-2,-29,1,0.255605381
2023,"Wells, Tyler",669330,Orioles,BAL,R,74.1,148,1903,11.74691358,0.077771939,CUKC,Curveball,63,-62.9,0.1,0,10.5,9,1.5,17,0.493273543,0.659192825
2023,"Mikolas, Miles",571945,Cardinals,STL,R,75.8,639,3197,19.7345679,0.199874883,CUKC,Curveball,63,-60.2,2.7,5,7.8,8.3,-0.5,-6,0.735426009,0.394618834
2023,"Wacha, Michael",608379,Padres,SD,R,74,245,2221,13.70987654,0.110310671,CUKC,Curveball,62.7,-63.6,-0.9,-1,12,9.4,2.6,28,0.390134529,0.766816143
2023,"Murphy, Chris",669684,Red Sox,BOS,L,75.8,159,870,5.37037037,0.182758621,CUKC,Curveball,62.3,-56.9,5.3,9,14.2,12.2,2,16,0.896860987,0.708520179
2023,"Maton, Phil",664208,Astros,HOU,R,73.8,420,1040,6.419753086,0.403846154,CUKC,Curveball,62.2,-60.2,1.9,3,18.5,13.6,4.8,36,0.67264574,0.910313901
2023,"Gaddis, Hunter",683769,Guardians,CLE,R,75.5,45,686,4.234567901,0.065597668,CUKC,Curveball,62,-60.7,1.3,2,10.6,9.1,1.5,16,0.623318386,0.659192825
2023,"Darvish, Yu",506433,Padres,SD,R,76.3,259,2218,13.69135802,0.116771867,CUKC,Curveball,61.8,-57.6,4.2,7,10.8,11.4,-0.6,-5,0.843049327,0.390134529
2023,"Woodford, Jake",663765,Cardinals,STL,R,76.3,92,909,5.611111111,0.101210121,CUKC,Curveball,61.6,-57.5,4,7,10.9,11.2,-0.3,-2,0.829596413,0.426008969
2023,"Civale, Aaron",650644,Rays,TB,R,78.1,491,2009,12.40123457,0.244400199,CUKC,Curveball,61.3,-55.2,6,11,10.9,5.9,5,84,0.937219731,0.923766816
2023,"Pivetta, Nick",601713,Red Sox,BOS,R,79.4,588,2383,14.70987654,0.246747797,CUKC,Curveball,61.3,-54.7,6.6,12,8,7.4,0.5,7,0.964125561,0.556053812
2023,"Francis, Bowden",670102,Blue Jays,TOR,R,74.3,183,539,3.327160494,0.339517625,CUKC,Curveball,61.2,-62.1,-0.9,-1,16.2,10.6,5.5,52,0.390134529,0.941704036
2023,"Bradley, Taj",671737,Rays,TB,R,79,304,1821,11.24074074,0.166941241,CUKC,Curveball,60.9,-54.5,6.4,12,6.6,8.4,-1.8,-21,0.955156951,0.278026906
2023,"Curry, Xzavion",675540,Guardians,CLE,R,75.1,174,1495,9.228395062,0.11638796,CUKC,Curveball,60.7,-60.4,0.3,0,9.5,10.1,-0.7,-7,0.524663677,0.372197309
2023,"Long, Sam",669674,Athletics,OAK,L,77.4,237,776,4.790123457,0.305412371,CUKC,Curveball,60.7,-56.4,4.3,8,2.7,8.4,-5.8,-68,0.852017937,0.062780269
2023,"Boyd, Matthew",571510,Tigers,DET,L,73.8,87,1178,7.271604938,0.07385399,CUKC,Curveball,60.6,-61.2,-0.6,-1,17.2,13.2,3.9,30,0.426008969,0.843049327
2023,"Toussaint, Touki",657053,White Sox,CWS,R,76.1,459,1595,9.845679012,0.287774295,CUKC,Curveball,60.6,-58.7,1.9,3,12.3,9.9,2.4,24,0.67264574,0.748878924
2023,"Walker, Taijuan",592836,Phillies,PHI,R,74.8,162,2837,17.51234568,0.057102573,CUKC,Curveball,60.3,-60.5,-0.2,0,7.8,9,-1.1,-13,0.466367713,0.349775785
2023,"Blackburn, Paul",621112,Athletics,OAK,R,79.1,219,1875,11.57407407,0.1168,CUKC,Curveball,60.3,-54.1,6.3,12,6.7,8.8,-2.1,-24,0.950672646,0.251121076
2023,"Contreras, Roansy",672710,Pirates,PIT,R,76.8,133,1141,7.043209877,0.116564417,CUKC,Curveball,60.2,-57.6,2.7,5,10.1,9.7,0.5,5,0.735426009,0.556053812
2023,"Avila, Pedro",658648,Padres,SD,R,77.5,188,895,5.524691358,0.210055866,CUKC,Curveball,60.2,-56,4.3,8,9.4,10.2,-0.8,-8,0.852017937,0.367713004
2023,"Lugo, Seth",607625,Padres,SD,R,79.6,698,2377,14.67283951,0.293647455,CUKC,Curveball,60,-52.9,7.1,13,12.4,9.3,3.1,34,0.97309417,0.802690583
2023,"Sandoval, Patrick",663776,Angels,LAA,L,76.5,236,2620,16.17283951,0.090076336,CUKC,Curveball,60,-58.2,1.9,3,8.6,9.1,-0.5,-6,0.67264574,0.394618834
2023,"Megill, Tylor",656731,Mets,NYM,R,77.2,192,2235,13.7962963,0.08590604,CUKC,Curveball,60,-57.1,2.9,5,8,9.2,-1.2,-13,0.771300448,0.34529148
2023,"Keller, Mitch",656605,Pirates,PIT,R,78,249,3119,19.25308642,0.07983328,CUKC,Curveball,59.9,-55.7,4.2,7,12.5,9,3.5,39,0.843049327,0.820627803
2023,"Olson, Reese",681857,Tigers,DET,R,78.8,98,1743,10.75925926,0.0562249,CUKC,Curveball,59.8,-54.3,5.5,10,11.6,7.5,4.1,54,0.910313901,0.874439462
2023,"Stripling, Ross",548389,Giants,SF,R,75.9,144,1453,8.969135802,0.099105299,CUKC,Curveball,59.8,-60,-0.2,0,6.1,7.4,-1.3,-17,0.466367713,0.331838565
2023,"Suárez, Andrew",605498,Cardinals,STL,L,74.5,57,521,3.216049383,0.10940499,CUKC,Curveball,59.7,-61.2,-1.6,-3,9.9,9.4,0.6,6,0.33632287,0.573991031
2023,"Beck, Tristan",663941,Giants,SF,R,79.2,103,1298,8.012345679,0.079352851,CUKC,Curveball,59.5,-54.1,5.4,10,8.5,8.4,0.1,1,0.905829596,0.506726457
